,class_names,class_date,class_link
0,1. Acid ka kahar,"23 May, 2024",https://us06web.zoom.us/rec/share/9VKQEODbxcQGc8-MINx7Pl_nnzHqlCtjOqpgtiKPnSVPWWNfdvlpn5VfP2BUAYpQ.p7K_xkDqNU7jHsiD
1,2. Salt and its types,"24 May, 2024",https://us06web.zoom.us/rec/share/32m5eP_T0UErfbZV4hz9f7KSQto92ESHgCuZx7piHM5S2fpmycXfYk1XBXpjS-_o.nIF6nCIQvBXQpi9l
2,3. Metal and non-metals + Oxidizing agent problems,"27 May, 2024",https://us06web.zoom.us/rec/share/lxaM-4K6QiFb0pIPV3kjp1rO_Me74tWV24NyN5XVu6e85555nX9vx5FH_97W_Sk.AohAWAxBfhwAfgrR
3,4. Color based questions - types of chemical reactions,"28 May, 2024",https://us06web.zoom.us/rec/share/jSsutt7IGq5c4bBJQURSD7Ja8pXDSPu0BlhQMWlxwpf6R-F5yIPHYGL8W9L6L5rL.WDRh6qoIL4vdGtTj
4,5. Pure substance and mixtures,"29 May, 2024",https://us06web.zoom.us/rec/share/yBP7pHUtl1_ngI0Weestw3he8ixI1zGsqVAMVTHrwcIB-fWhhSyYTfnkEkXLICyF.cJJKUbNqZXQ6z04J
5,6. Atoms and Molecules,"30 May, 2024",https://us06web.zoom.us/rec/share/jF3oUskYvw7jF8-kfB_quJBYMtr__VbuvGZ5ngq-ysh4ZeyD6qDeITB88jP3NJ06.ZtA9pZFw513SB2-E
6,7. Chemistry based numericals,"04 Jun, 2024",https://us06web.zoom.us/rec/share/xQx5xr8Z_emK1LUYPqorkjkeFVtRL1VLamZvWIx2HIvsltTdLkk-rdMBDR01x4K6.p9TJ4q6mLa50ZMRo
7,8. Soap & detergents + Carbon Basics,"06 Jun, 2024",https://us06web.zoom.us/rec/share/zeCMW3K3Tv7ZpzIdfaeVNhlp9Qf0hTtjizJ2dOZZsLFJQJ5uXiifwZgl0rJ-cgH3.IuJyS_tasT-UEv3q
8,9. Carbon + Alcohol,"07 Jun, 2024",https://us06web.zoom.us/rec/share/B1GAhOjoCSEYjs1n_EtOaLRb5q6EG0bvnUi58ptL-wHDH-O16AnMEjsmTKGpH0eX.a9ONnwwj4G6zJ2xM
9,10. Chemistry Revision Test,"07 Jun, 2024",https://us06web.zoom.us/rec/share/B1GAhOjoCSEYjs1n_EtOaLRb5q6EG0bvnUi58ptL-wHDH-O16AnMEjsmTKGpH0eX.a9ONnwwj4G6zJ2xM
10,11. Periodic table and trends based question,"10 Jun, 2024",https://us06web.zoom.us/rec/share/ZXewogCPgyLgWBhuGk_mAolpwU166Bm0vshnDtHit7xziI7ir3utOOVQCNWm1_iS.1QYnP1ZoNylzXcNs
11,12. Ethanoic Acid + Ester + Chemistry one liners,"11 Jun, 2024",https://us06web.zoom.us/rec/share/VZLSGLIKHCZceVRtp5VFLHFLKYN0fYKcfUnur_xTKmw7rb0BnkgF-ZwfB67Hg5AI.4SheZVW7eEQzrAle
